Frequency (Hz)	Level (dB)
43.066406	-33.087868
86.132813	-36.834068
129.199219	-42.164917
172.265625	-46.233208
215.332031	-48.440380
258.398438	-50.329906
301.464844	-52.131073
344.531250	-54.155624
387.597656	-56.365269
430.664063	-58.142784
473.730469	-58.920341
516.796875	-58.442261
559.863281	-57.992367
602.929688	-58.626900
645.996094	-60.464848
689.062500	-62.895519
732.128906	-64.626328
775.195313	-65.627159
818.261719	-66.417328
861.328125	-66.879913
904.394531	-67.340294
947.460938	-67.841057
990.527344	-67.999283
1033.593750	-67.851288
1076.660156	-67.519104
1119.726563	-66.709488
1162.792969	-65.485008
1205.859375	-64.473373
1248.925781	-64.093788
1291.992188	-64.111366
1335.058594	-64.129005
1378.125000	-64.237190
1421.191406	-64.543884
1464.257813	-65.118935
1507.324219	-65.728691
1550.390625	-65.991074
1593.457031	-66.387619
1636.523438	-67.133507
1679.589844	-67.652061
1722.656250	-67.898895
1765.722656	-68.203491
1808.789063	-68.560402
1851.855469	-68.798119
1894.921875	-69.033089
1937.988281	-69.182274
1981.054688	-69.023239
2024.121094	-68.518181
2067.187500	-67.977867
2110.253906	-67.700058
2153.320313	-67.042168
2196.386719	-65.624306
2239.453125	-64.919052
2282.519531	-65.652824
2325.585938	-67.141098
2368.652344	-68.528297
2411.718750	-69.833824
2454.785156	-70.839874
2497.851563	-71.178291
2540.917969	-71.091377
2583.984375	-70.872902
2627.050781	-70.825951
2670.117188	-71.168663
2713.183594	-71.665726
2756.250000	-71.500641
2799.316406	-70.665688
2842.382813	-70.098267
2885.449219	-70.247261
2928.515625	-70.525978
2971.582031	-70.131744
3014.648438	-69.225357
3057.714844	-67.961922
3100.781250	-67.236443
3143.847656	-67.902802
3186.914063	-69.648666
3229.980469	-71.195595
3273.046875	-71.829079
3316.113281	-72.209343
3359.179688	-72.703949
3402.246094	-73.149719
3445.312500	-73.606651
3488.378906	-73.884247
3531.445313	-73.653053
3574.511719	-73.319649
3617.578125	-73.154411
3660.644531	-73.198181
3703.710938	-73.230087
3746.777344	-73.223061
3789.843750	-73.374542
3832.910156	-72.577690
3875.976563	-71.891899
3919.042969	-71.542107
3962.109375	-70.537331
4005.175781	-69.905350
4048.242188	-70.505905
4091.308594	-71.513184
4134.375000	-72.233101
4177.441406	-72.880814
4220.507813	-73.365425
4263.574219	-73.473106
4306.640625	-73.233658
4349.707031	-72.647675
4392.773438	-72.077484
4435.839844	-71.764542
4478.906250	-71.992188
4521.972656	-72.177330
4565.039063	-71.433922
4608.105469	-70.788788
4651.171875	-70.676453
4694.238281	-70.512695
4737.304688	-70.322456
4780.371094	-70.226074
4823.437500	-70.194229
4866.503906	-70.610222
4909.570313	-70.922127
4952.636719	-70.091080
4995.703125	-69.253761
5038.769531	-69.416451
5081.835938	-70.287811
5124.902344	-70.995934
5167.968750	-71.273918
5211.035156	-71.717354
5254.101563	-72.426926
5297.167969	-72.752525
5340.234375	-72.520515
5383.300781	-72.163017
5426.367188	-72.117172
5469.433594	-72.651413
5512.500000	-73.109848
5555.566406	-72.919624
5598.632813	-72.569618
5641.699219	-72.645744
5684.765625	-72.955902
5727.832031	-73.237175
5770.898438	-73.666000
5813.964844	-73.873222
5857.031250	-73.776596
5900.097656	-73.621254
5943.164063	-73.366890
5986.230469	-73.110611
6029.296875	-73.376823
6072.363281	-74.139259
6115.429688	-74.573082
6158.496094	-74.243752
6201.562500	-74.024071
6244.628906	-74.361305
6287.695313	-74.929115
6330.761719	-75.182838
6373.828125	-74.958313
6416.894531	-74.536667
6459.960938	-74.262543
6503.027344	-73.877197
6546.093750	-73.670326
6589.160156	-73.766937
6632.226563	-74.108688
6675.292969	-74.748512
6718.359375	-75.396255
6761.425781	-75.688782
6804.492188	-75.775192
6847.558594	-76.072464
6890.625000	-76.451859
6933.691406	-76.339340
6976.757813	-75.861092
7019.824219	-75.923035
7062.890625	-76.486839
7105.957031	-76.971413
7149.023438	-77.315849
7192.089844	-77.356071
7235.156250	-77.310471
7278.222656	-77.404877
7321.289063	-77.452049
7364.355469	-77.237968
7407.421875	-76.953728
7450.488281	-76.833893
7493.554688	-76.788002
7536.621094	-76.651794
7579.687500	-76.595505
7622.753906	-76.870811
7665.820313	-77.341049
7708.886719	-77.628525
7751.953125	-77.639435
7795.019531	-77.477928
7838.085938	-77.414757
7881.152344	-77.627869
7924.218750	-77.830948
7967.285156	-77.650650
8010.351563	-77.826332
8053.417969	-78.922203
8096.484375	-79.883926
8139.550781	-80.132431
8182.617188	-80.129875
8225.683594	-80.136185
8268.750000	-80.130455
8311.816406	-80.055161
8354.882813	-79.885307
8397.949219	-79.638748
8441.015625	-79.378265
8484.082031	-79.253082
8527.148438	-79.282677
8570.214844	-79.265930
8613.281250	-79.260803
8656.347656	-79.370789
8699.414063	-79.473755
8742.480469	-79.500954
8785.546875	-79.414673
8828.613281	-79.278694
8871.679688	-79.250671
8914.746094	-79.181664
8957.812500	-78.692970
9000.878906	-78.331047
9043.945313	-78.777527
9087.011719	-79.295250
9130.078125	-79.298660
9173.144531	-79.101166
9216.210938	-79.066307
9259.277344	-79.218422
9302.343750	-79.219208
9345.410156	-79.100067
9388.476563	-79.059814
9431.542969	-78.990616
9474.609375	-78.860199
9517.675781	-78.837334
9560.742188	-78.925865
9603.808594	-79.048653
9646.875000	-79.156288
9689.941406	-79.201118
9733.007813	-79.296631
9776.074219	-79.499207
9819.140625	-79.689842
9862.207031	-79.729317
9905.273438	-79.570496
9948.339844	-79.033447
9991.406250	-78.487877
10034.472656	-78.687897
10077.539063	-79.238327
10120.605469	-79.507744
10163.671875	-79.529312
10206.738281	-79.513985
10249.804688	-79.658295
10292.871094	-79.884972
10335.937500	-79.962585
10379.003906	-79.875122
10422.070313	-79.859489
10465.136719	-79.979851
10508.203125	-79.988205
10551.269531	-79.865250
10594.335938	-79.788940
10637.402344	-79.817177
10680.468750	-79.958679
10723.535156	-80.097557
10766.601563	-80.138329
10809.667969	-80.151550
10852.734375	-80.215096
10895.800781	-80.255852
10938.867188	-80.031715
10981.933594	-79.599648
11025.000000	-79.673882
11068.066406	-80.170975
11111.132813	-80.420097
11154.199219	-80.414452
11197.265625	-80.353966
11240.332031	-80.310822
11283.398438	-80.212440
11326.464844	-79.988464
11369.531250	-79.667511
11412.597656	-79.356895
11455.664063	-79.089233
11498.730469	-78.787857
11541.796875	-78.506668
11584.863281	-78.334999
11627.929688	-78.297462
11670.996094	-78.332893
11714.062500	-78.414177
11757.128906	-78.538475
11800.195313	-78.695763
11843.261719	-78.889961
11886.328125	-79.116913
11929.394531	-79.290298
11972.460938	-79.281120
12015.527344	-79.460976
12058.593750	-79.970573
12101.660156	-80.335007
12144.726563	-80.489807
12187.792969	-80.565659
12230.859375	-80.572701
12273.925781	-80.604912
12316.992188	-80.633476
12360.058594	-80.496216
12403.125000	-80.413086
12446.191406	-80.618309
12489.257813	-80.824715
12532.324219	-80.879028
12575.390625	-80.876320
12618.457031	-80.887825
12661.523438	-80.916168
12704.589844	-80.938217
12747.656250	-80.965622
12790.722656	-81.002464
12833.789063	-81.059189
12876.855469	-81.076492
12919.921875	-80.981888
12962.988281	-80.764107
13006.054688	-80.641785
13049.121094	-80.810913
13092.187500	-80.998322
13135.253906	-80.989273
13178.320313	-80.830399
13221.386719	-80.745567
13264.453125	-80.771324
13307.519531	-80.692070
13350.585938	-80.419708
13393.652344	-80.195953
13436.718750	-80.348846
13479.785156	-80.667412
13522.851563	-80.816887
13565.917969	-80.777077
13608.984375	-80.706383
13652.050781	-80.749878
13695.117188	-80.839447
13738.183594	-80.888779
13781.250000	-80.894958
13824.316406	-80.911354
13867.382813	-80.918251
13910.449219	-80.908287
13953.515625	-80.823540
13996.582031	-80.629105
14039.648438	-80.570381
14082.714844	-80.629601
14125.781250	-80.556000
14168.847656	-80.353653
14211.914063	-80.247635
14254.980469	-80.260124
14298.046875	-80.193359
14341.113281	-79.946922
14384.179688	-79.666641
14427.246094	-79.724525
14470.312500	-79.984451
14513.378906	-80.101768
14556.445313	-80.130547
14599.511719	-80.154694
14642.578125	-80.200081
14685.644531	-80.257187
14728.710938	-80.302353
14771.777344	-80.343727
14814.843750	-80.364616
14857.910156	-80.320930
14900.976563	-80.229004
14944.042969	-80.098160
14987.109375	-79.959076
15030.175781	-79.793083
15073.242188	-79.492989
15116.308594	-79.098701
15159.375000	-78.710236
15202.441406	-78.304329
15245.507813	-77.870598
15288.574219	-77.429779
15331.640625	-76.929085
15374.707031	-76.399292
15417.773438	-76.219460
15460.839844	-76.450958
15503.906250	-76.671967
15546.972656	-76.726730
15590.039063	-76.702293
15633.105469	-76.709816
15676.171875	-76.794746
15719.238281	-76.897652
15762.304688	-76.980019
15805.371094	-77.104782
15848.437500	-77.332314
15891.503906	-77.585175
15934.570313	-77.760536
15977.636719	-77.881920
16020.703125	-77.986992
16063.769531	-77.996002
16106.835938	-77.872734
16149.902344	-77.677353
16192.968750	-77.444275
16236.035156	-77.167038
16279.101563	-76.733765
16322.167969	-75.882500
16365.234375	-74.632904
16408.300781	-74.062279
16451.367188	-74.659195
16494.433594	-75.285034
16537.500000	-75.200874
16580.566406	-74.738564
16623.632813	-74.416351
16666.699219	-74.507164
16709.765625	-74.812180
16752.832031	-74.885735
16795.898438	-74.737953
16838.964844	-74.502281
16882.031250	-74.227226
16925.097656	-74.282349
16968.164063	-74.628197
17011.230469	-74.858551
17054.296875	-74.890465
17097.363281	-74.723763
17140.429688	-74.506531
17183.496094	-74.576271
17226.562500	-74.913582
17269.628906	-75.197815
17312.695313	-75.111778
17355.761719	-74.440384
17398.828125	-73.961868
17441.894531	-74.627625
17484.960938	-75.767738
17528.027344	-76.453194
17571.093750	-76.816643
17614.160156	-77.105698
17657.226563	-77.418976
17700.292969	-77.763733
17743.359375	-78.044769
17786.425781	-78.207497
17829.492188	-78.317810
17872.558594	-78.385361
17915.625000	-78.348862
17958.691406	-78.176056
18001.757813	-77.993935
18044.824219	-77.888245
18087.890625	-77.703506
18130.957031	-77.370567
18174.023438	-76.997719
18217.089844	-76.626640
18260.156250	-76.185753
18303.222656	-75.336952
18346.289063	-73.640350
18389.355469	-72.229408
18432.421875	-72.679634
18475.488281	-74.468567
18518.554688	-75.808342
18561.621094	-76.482986
18604.687500	-76.994545
18647.753906	-77.431458
18690.820313	-77.770538
18733.886719	-78.023514
18776.953125	-78.201508
18820.019531	-78.304527
18863.085938	-78.291779
18906.152344	-78.103203
18949.218750	-77.727066
18992.285156	-77.296394
19035.351563	-77.024170
19078.417969	-76.762077
19121.484375	-76.045868
19164.550781	-74.761948
19207.617188	-74.209557
19250.683594	-75.005867
19293.750000	-75.920166
19336.816406	-76.252876
19379.882813	-76.368179
19422.949219	-76.411980
19466.015625	-76.388916
19509.082031	-76.319908
19552.148438	-76.277687
19595.214844	-76.288353
19638.281250	-76.351479
19681.347656	-76.476456
19724.414063	-76.642509
19767.480469	-76.866676
19810.546875	-77.158302
19853.613281	-77.469452
19896.679688	-77.785187
19939.746094	-77.989265
19982.812500	-78.053200
20025.878906	-78.409828
20068.945313	-79.013123
20112.011719	-79.391205
20155.078125	-79.594795
20198.144531	-79.765007
20241.210938	-79.920914
20284.277344	-80.048805
20327.343750	-80.101898
20370.410156	-80.071312
20413.476563	-80.065880
20456.542969	-80.144135
20499.609375	-80.208923
20542.675781	-80.210068
20585.742188	-80.186577
20628.808594	-80.193901
20671.875000	-80.176872
20714.941406	-80.135452
20758.007813	-80.137039
20801.074219	-80.156570
20844.140625	-80.187378
20887.207031	-80.195992
20930.273438	-79.985275
20973.339844	-79.518753
21016.406250	-79.403999
21059.472656	-79.727394
21102.539063	-79.918655
21145.605469	-80.005066
21188.671875	-80.082031
21231.738281	-80.141922
21274.804688	-80.180710
21317.871094	-80.177063
21360.937500	-80.069328
21404.003906	-79.930664
21447.070313	-79.861214
21490.136719	-79.786476
21533.203125	-79.734367
21576.269531	-79.587769
21619.335938	-79.424866
21662.402344	-79.316986
21705.468750	-79.206078
21748.535156	-79.208237
21791.601563	-79.154587
21834.667969	-78.655663
21877.734375	-77.707741
21920.800781	-77.231979
21963.867188	-76.839409
22006.933594	-76.573029
