Frequency (Hz)	Level (dB)
0.672913	-77.307449
1.345825	-76.773476
2.018738	-73.031639
2.691650	-68.650749
3.364563	-64.040741
4.037476	-61.025688
4.710388	-57.256050
5.383301	-55.064297
6.056213	-53.643566
6.729126	-52.736065
7.402039	-51.158241
8.074951	-51.410904
8.747864	-50.213253
9.420776	-49.223495
10.093689	-49.838764
10.766602	-50.373138
11.439514	-49.027233
12.112427	-49.985188
12.785339	-50.226067
13.458252	-50.190254
14.131165	-49.840256
14.804077	-51.246452
15.476990	-51.533936
16.149902	-51.419849
16.822815	-51.267200
17.495728	-52.019180
18.168640	-53.153542
18.841553	-52.296875
19.514465	-52.258430
20.187378	-53.539730
20.860291	-52.819893
21.533203	-52.059464
22.206116	-52.564518
22.879028	-51.815136
23.551941	-50.540176
24.224854	-50.806416
24.897766	-51.031342
25.570679	-52.427959
26.243591	-51.851208
26.916504	-50.401138
27.589417	-51.849747
28.262329	-52.206867
28.935242	-51.031387
29.608154	-52.609318
30.281067	-51.412113
30.953979	-51.163204
31.626892	-52.921024
32.299805	-53.107719
32.972717	-53.666096
33.645630	-53.305328
34.318542	-52.102451
34.991455	-52.651821
35.664368	-52.976086
36.337280	-53.732063
37.010193	-54.603718
37.683105	-54.071072
38.356018	-53.149342
39.028931	-53.166977
39.701843	-53.151123
40.374756	-53.373566
41.047668	-53.774685
41.720581	-54.467041
42.393494	-55.028896
43.066406	-54.947990
43.739319	-53.943531
44.412231	-54.638714
45.085144	-55.646553
45.758057	-55.215500
46.430969	-54.987312
47.103882	-55.154701
47.776794	-54.703392
48.449707	-55.699665
49.122620	-56.656845
49.795532	-57.518547
50.468445	-56.558201
51.141357	-56.131500
51.814270	-56.353935
52.487183	-56.739098
53.160095	-57.662537
53.833008	-57.198471
54.505920	-57.069546
55.178833	-57.447952
55.851746	-57.483402
56.524658	-57.670483
57.197571	-57.793987
57.870483	-59.046307
58.543396	-59.041195
59.216309	-58.651306
59.889221	-57.884811
60.562134	-58.408356
61.235046	-59.255424
61.907959	-59.568768
62.580872	-61.555832
63.253784	-62.098732
63.926697	-62.144650
64.599609	-60.520809
65.272522	-61.370014
65.945435	-61.951019
66.618347	-62.515625
67.291260	-62.267509
67.964172	-60.928360
68.637085	-61.763981
69.309998	-62.521011
69.982910	-63.870865
70.655823	-63.170467
71.328735	-62.416992
72.001648	-62.820488
72.674561	-62.273724
73.347473	-63.684460
74.020386	-63.167030
74.693298	-64.293510
75.366211	-62.402996
76.039124	-62.670681
76.712036	-63.613285
77.384949	-64.258514
78.057861	-62.469738
78.730774	-63.234966
79.403687	-66.233437
80.076599	-66.427879
80.749512	-66.840530
81.422424	-66.056206
82.095337	-66.548019
82.768250	-67.604630
83.441162	-65.710655
84.114075	-64.765755
84.786987	-66.622345
85.459900	-66.229866
86.132813	-64.155846
86.805725	-64.169418
87.478638	-64.193909
88.151550	-66.303261
88.824463	-64.869896
89.497375	-64.952728
90.170288	-65.730537
90.843201	-65.677795
91.516113	-65.576988
92.189026	-64.144653
92.861938	-66.955475
93.534851	-66.946907
94.207764	-67.751595
94.880676	-65.143944
95.553589	-66.552231
96.226501	-66.202454
96.899414	-66.927330
97.572327	-64.588943
98.245239	-64.799248
98.918152	-65.919533
99.591064	-68.379196
100.263977	-65.112923
100.936890	-65.685493
101.609802	-65.694153
102.282715	-66.409935
102.955627	-65.182182
103.628540	-66.872948
104.301453	-65.614113
