Frequency (Hz)	Level (dB)
43.066406	-67.338676
86.132813	-63.935738
129.199219	-64.578789
172.265625	-64.959091
215.332031	-66.507133
258.398438	-66.076218
301.464844	-67.539482
344.531250	-67.563309
387.597656	-67.192909
430.664063	-68.384636
473.730469	-68.490143
516.796875	-69.669014
559.863281	-69.628525
602.929688	-70.087730
645.996094	-70.804344
689.062500	-70.632401
732.128906	-69.074150
775.195313	-69.171028
818.261719	-69.865837
861.328125	-70.520287
904.394531	-70.376854
947.460938	-71.431633
990.527344	-70.906334
1033.593750	-71.929352
1076.660156	-72.689964
1119.726563	-73.317993
1162.792969	-73.383797
1205.859375	-72.255989
1248.925781	-71.065231
1291.992188	-72.371979
1335.058594	-71.327705
1378.125000	-70.605515
1421.191406	-70.569321
1464.257813	-70.391289
1507.324219	-71.369629
1550.390625	-72.659920
1593.457031	-73.647667
1636.523438	-74.179291
1679.589844	-73.914566
1722.656250	-74.357033
1765.722656	-74.612030
1808.789063	-74.798981
1851.855469	-74.806343
1894.921875	-73.754707
1937.988281	-74.278862
1981.054688	-73.885025
2024.121094	-74.708221
2067.187500	-76.160820
2110.253906	-76.381859
2153.320313	-76.783325
2196.386719	-76.950188
2239.453125	-76.750038
2282.519531	-75.954765
2325.585938	-76.812897
2368.652344	-76.961586
2411.718750	-77.045502
2454.785156	-77.016975
2497.851563	-76.621651
2540.917969	-76.958031
2583.984375	-77.340050
2627.050781	-78.227234
2670.117188	-78.579460
2713.183594	-79.352402
2756.250000	-79.575821
2799.316406	-78.821686
2842.382813	-76.561424
2885.449219	-77.552498
2928.515625	-79.159302
2971.582031	-75.495354
3014.648438	-74.006668
3057.714844	-79.937408
3100.781250	-80.826302
3143.847656	-80.798523
3186.914063	-80.879189
3229.980469	-81.210938
3273.046875	-81.097801
3316.113281	-81.461777
3359.179688	-81.525742
3402.246094	-81.557632
3445.312500	-81.512749
3488.378906	-81.497009
3531.445313	-80.730797
3574.511719	-80.896690
3617.578125	-81.126785
3660.644531	-80.693726
3703.710938	-81.710587
3746.777344	-81.916512
3789.843750	-81.654282
3832.910156	-81.657730
3875.976563	-81.833939
3919.042969	-81.767609
3962.109375	-79.106140
4005.175781	-75.461388
4048.242188	-80.660133
4091.308594	-82.010658
4134.375000	-82.216743
4177.441406	-82.476875
4220.507813	-82.405014
4263.574219	-82.348969
4306.640625	-82.133675
4349.707031	-81.936348
4392.773438	-81.370605
4435.839844	-81.652580
4478.906250	-81.902756
4521.972656	-81.687355
4565.039063	-81.548332
4608.105469	-80.374130
4651.171875	-76.061699
4694.238281	-78.628647
4737.304688	-80.870811
4780.371094	-79.915443
4823.437500	-79.163376
4866.503906	-79.751160
4909.570313	-77.901917
4952.636719	-78.958794
4995.703125	-76.654808
5038.769531	-78.828888
5081.835938	-79.958229
5124.902344	-78.446411
5167.968750	-76.407410
5211.035156	-77.832245
5254.101563	-79.533577
5297.167969	-79.562706
5340.234375	-79.871407
5383.300781	-78.071129
5426.367188	-77.738327
5469.433594	-79.884293
5512.500000	-79.567848
5555.566406	-80.101845
5598.632813	-79.878731
5641.699219	-74.755836
5684.765625	-75.879417
5727.832031	-80.862373
5770.898438	-81.075981
5813.964844	-80.605644
5857.031250	-81.653069
5900.097656	-81.111771
5943.164063	-81.870598
5986.230469	-79.472435
6029.296875	-80.727638
6072.363281	-83.090210
6115.429688	-83.115204
6158.496094	-83.147095
6201.562500	-83.375374
6244.628906	-83.520004
6287.695313	-83.494156
6330.761719	-83.459785
6373.828125	-83.054092
6416.894531	-83.060013
6459.960938	-83.380157
6503.027344	-83.318008
6546.093750	-83.360077
6589.160156	-83.415802
6632.226563	-81.719070
6675.292969	-81.192146
6718.359375	-83.107536
6761.425781	-83.133148
6804.492188	-82.265511
6847.558594	-82.755768
6890.625000	-83.024933
6933.691406	-83.066566
6976.757813	-81.478104
7019.824219	-81.111259
7062.890625	-83.568733
7105.957031	-83.937393
7149.023438	-83.775124
7192.089844	-83.827873
7235.156250	-83.888641
7278.222656	-83.964584
7321.289063	-83.997604
7364.355469	-83.862984
7407.421875	-83.743683
7450.488281	-83.856354
7493.554688	-83.993637
7536.621094	-83.820610
7579.687500	-83.785751
7622.753906	-83.342857
7665.820313	-82.736977
7708.886719	-83.848419
7751.953125	-84.027580
7795.019531	-83.948631
7838.085938	-83.923698
7881.152344	-83.680305
7924.218750	-83.561859
7967.285156	-82.895195
8010.351563	-81.965553
8053.417969	-84.062439
8096.484375	-84.006134
8139.550781	-83.908951
8182.617188	-84.110474
8225.683594	-84.026917
8268.750000	-83.962967
8311.816406	-84.016418
8354.882813	-83.836121
8397.949219	-83.569458
8441.015625	-83.952515
8484.082031	-84.122940
8527.148438	-84.109116
8570.214844	-83.850273
8613.281250	-83.619385
8656.347656	-83.078735
8699.414063	-83.789581
8742.480469	-84.023491
8785.546875	-83.988167
8828.613281	-83.751755
8871.679688	-83.899651
8914.746094	-83.792175
8957.812500	-83.513100
9000.878906	-82.410225
9043.945313	-83.580299
9087.011719	-84.014755
9130.078125	-83.712288
9173.144531	-83.700081
9216.210938	-83.912048
9259.277344	-84.019630
9302.343750	-83.991371
9345.410156	-83.677086
9388.476563	-83.304504
9431.542969	-83.765686
9474.609375	-83.884125
9517.675781	-83.892036
9560.742188	-83.834785
9603.808594	-83.822517
9646.875000	-83.374100
9689.941406	-83.653748
9733.007813	-83.930023
9776.074219	-83.940239
9819.140625	-83.927872
9862.207031	-83.914589
9905.273438	-83.767509
9948.339844	-83.804977
9991.406250	-82.930313
10034.472656	-83.640823
10077.539063	-83.784218
10120.605469	-83.817711
10163.671875	-83.760818
10206.738281	-83.954803
10249.804688	-84.015953
10292.871094	-83.870682
10335.937500	-83.622528
10379.003906	-83.145447
10422.070313	-83.717499
10465.136719	-83.829750
10508.203125	-84.013268
10551.269531	-83.945816
10594.335938	-83.900902
10637.402344	-83.670616
10680.468750	-84.036926
10723.535156	-84.088547
10766.601563	-84.127739
10809.667969	-84.134499
10852.734375	-84.055870
10895.800781	-84.032982
10938.867188	-84.221024
10981.933594	-83.551674
11025.000000	-83.616478
11068.066406	-84.147659
11111.132813	-84.068611
11154.199219	-83.965729
11197.265625	-83.850220
11240.332031	-83.977333
11283.398438	-84.162331
11326.464844	-84.003304
11369.531250	-83.074814
